id;Nome;Partido;Estado;Legislatura
141442;GERALDO PUDIM;PR;RJ;53
74374;GERALDO RESENDE;PMDB;MS;53
74566;GERALDO SIMÕES;PT;BA;53
74151;GERALDO THADEU;PPS;MG;53
141443;GERMANO BONOW;DEM;RS;53
141444;GERÔNIMO DA ADEFAL;PFL;AL;53
74076;GERSON PERES;PP**;PA;53
73472;GERVÁSIO SILVA;PSDB;SC;53
74383;GIACOBO;PR;PR;53
74581;GILMAR MACHADO;PT;MG;53
74077;GIOVANNI QUEIROZ;PDT;PA;53
159265;GISELA SEQUEIRA;PSDB;PA;53
74558;GIVALDO CARIMBÃO;PSB;AL;53
141446;GLADSON CAMELI;PP**;AC;53
152605;GLAUBER BRAGA;PSB;RJ;53
74419;GONZAGA PATRIOTA;PSB;PE;53
129618;GORETE PEREIRA;PR;CE;53
141447;GUILHERME CAMPOS;DEM;SP;53
74139;GUILHERME MENEZES;PT;BA;53
73460;GUSTAVO FRUET;PSDB;PR;53
73940;HENRIQUE AFONSO;PV;AC;53
74324;HENRIQUE EDUARDO ALVES;PMDB;RN;53
73482;HENRIQUE FONTANA;PT;RS;53
73772;HERMES PARCIANELLO;PMDB;PR;53
141448;HOMERO PEREIRA;PR;MT;53
141450;HUGO LEAL;PSC;RJ;53
74662;HUMBERTO SOUTO;PPS;MG;53
74780;IARA BERNARDI;PT;SP;53
133853;IBSEN PINHEIRO;PMDB;RS;53
141451;ILDERLEI CORDEIRO;PPS;AC;53
141389;INDIO DA COSTA;DEM;RJ;53
74421;INOCÊNCIO OLIVEIRA;PR;PE;53
141468;IRAN BARBOSA;PT;SE;53
74162;IRINY LOPES;PT;ES;53
141453;ÍRIS DE ARAÚJO;PMDB;GO;53
73461;ÍRIS SIMÕES;PR;PR;53
159264;ITAMAR ROCHA;PMDB;RN;53
73531;IVAN VALENTE;PSOL;SP;53
4931;IZALCI;PSDB;DF;53
77701;JACKSON BARRETO;PMDB;SE;53
73929;JADER BARBALHO;PMDB;PA;53
74665;JAIME MARTINS;PR;MG;53
74847;JAIR BOLSONARO;PP**;RJ;53
3151;JAIRO ATAIDE;DEM;MG;53
74547;JAIRO CARNEIRO;PP**;BA;53
74272;JAMIL MURAD;PCdoB;SP;53
73926;JANETE CAPIBERIBE;PSB;AP;53
141455;JANETE ROCHA PIETÁ;PT;SP;53
74273;JEFFERSON CAMPOS;PSB;SP;53
74528;JERÔNIMO REIS;DEM;SE;53
141456;JILMAR TATTO;PT;SP;53
141503;JÔ MORAES;PCdoB;MG;53
74549;JOÃO ALMEIDA;PSDB;BA;53
160317;JOÃO BATISTA;PMDB;RO;53
141457;JOÃO BITTAR;DEM;MG;53
74366;JOÃO CAMPOS;PSDB;GO;53
141458;JOÃO CARLOS BACELAR;PR;BA;53
73682;JOÃO DADO;PDT;SP;53
74781;JOÃO HERRMANN;PDT;SP;53
74550;JOÃO LEÃO;PP**;BA;53
74120;JOÃO MAGALHÃES;PMDB;MG;53
141459;JOÃO MAIA;PR;RN;53
73873;JOÃO MATOS;PMDB;SC;53
141460;JOÃO OLIVEIRA;DEM;TO;53
73534;JOÃO PAULO CUNHA;PT;SP;53
73874;JOÃO PIZZOLATTI;PP**;SC;53
141461;JOAQUIM BELTRÃO;PMDB;AL;53
73658;JOFRAN FREJAT;PR;DF;53
74563;JORGE ALBERTO;PMDB;SE;53
74686;JORGE BITTAR;PT;RJ;53
74388;JORGE BOEIRA;PT;SC;53
74552;JORGE KHOURY;DEM;BA;53
73535;JORGE TADEU MUDALEN;DEM;SP;53
4927;JORGINHO MALULY;DEM;SP;53
141464;JOSÉ AIRTON CIRILO;PT;CE;53
73536;JOSÉ ANÍBAL;PSDB;SP;53
154739;JOSÉ C. STANGARLINI;PSDB;SP;53
74553;JOSÉ CARLOS ALELUIA;DEM;BA;53
74140;JOSÉ CARLOS ARAÚJO;PDT;BA;53
74055;JOSÉ CARLOS MACHADO;DEM;SE;53
73875;JOSÉ CARLOS VIEIRA;PR;SC;53
74423;JOSÉ CHAVES;PTB;PE;53
151249;JOSÉ EDMAR;PR;DF;53
74274;JOSÉ EDUARDO CARDOZO;PT;SP;53
141466;JOSÉ FERNANDO APARECIDO DE OLIVEIRA;PV;MG;53
73540;JOSÉ GENOÍNO;PT;SP;53
141470;JOSÉ GUIMARÃES;PT;CE;53
160396;JOSÉ HUMBERTO;PPS;MG;53
74297;JOSÉ LINHARES;PP**;CE;53
151965;JOSÉ MAIA FILHO;DEM;PI;53
74425;JOSÉ MENDONÇA BEZERRA;DEM;PE;53
74275;JOSÉ MENTOR;PT;SP;53
74426;JOSÉ MÚCIO MONTEIRO;PTB;PE;53
74395;JOSÉ OTÁVIO GERMANO;PP**;RS;53
141471;JOSÉ PAULO TÓFFANO;PV;SP;53
74298;JOSÉ PIMENTEL;PT;CE;53
71921;JOSÉ ROBERTO DUDÉ;PT;ES;53
74554;JOSÉ ROCHA;PR;BA;53
74741;JOSÉ SANTANA DE VASCONCELLOS;PR;MG;53
4929;JOSEPH BANDEIRA;PT;BA;53
73666;JOVAIR ARANTES;PTB;GO;53
141474;JULIÃO AMIN;PDT;MA;53
74317;JÚLIO CESAR;DEM;PI;53
73586;JÚLIO DELGADO;PSB;MG;53
73994;JÚLIO REDECKER;PSDB;RS;53
74783;JULIO SEMEGHINI;PSDB;SP;53
159058;JUNIOR MARZOLA;DEM;TO;53
74346;JURANDIL JUAREZ;PMDB;AP;53
141475;JURANDY LOUREIRO;PSC;ES;53
141476;JUSMARI OLIVEIRA;PR;BA;53
74570;JUTAHY JUNIOR;PSDB;BA;53
141477;JUVENIL;PRTB;MG;53
74742;LAEL VARELLA;DEM;MG;53
151208;LAERCIO OLIVEIRA;PSDB;SE;53
141478;LAERTE BESSA;PSC;DF;53
141479;LAUREZ MOREIRA;PSB;TO;53
141480;LÁZARO BOTELHO;PP**;TO;53
141481;LEANDRO SAMPAIO;PPS;RJ;53
74367;LEANDRO VILELA;PMDB;GO;53
141562;LELO COIMBRA;PMDB;ES;53
74455;LEO ALCÂNTARA;PR;CE;53
141452;LÉO VIVAS;PRB;RJ;53
74156;LEONARDO MONTEIRO;PT;MG;53
74254;LEONARDO PICCIANI;PMDB;RJ;53
141482;LEONARDO QUINTÃO;PMDB;MG;53
74368;LEONARDO VILELA;PSDB;GO;53
139285;LÍDICE DA MATA;PSB;BA;53
74585;LINCOLN PORTELA;PR;MG;53
141483;LINDOMAR GARÇON;PV;RO;53
141462;LIRA MAIA;DEM;PA;53
74277;LOBBE NETO;PSDB;SP;53
141504;LUCENIRA PIMENTEL;PR;AP;53
81512;LUCIANA COSTA;PR;SP;53
74397;LUCIANA GENRO;PSOL;RS;53
73982;LUCIANO CASTRO;PR;RR;53
73777;LUCIANO PIZZATTO;DEM;PR;53
141484;LÚCIO VALE;PR;PA;53
73483;LUIS CARLOS HEINZE;PP**;RS;53
74133;LUIZ ALBERTO;PT;BA;53
74059;LUIZ BASSUMA;PV;BA;53
74810;LUIZ BITTENCOURT;PMDB;GO;53
141485;LUIZ CARLOS BUSATO;PTB;RS;53
73778;LUIZ CARLOS HAULY;PSDB;PR;53
141486;LUIZ CARLOS SETIM;DEM;PR;53
74142;LUIZ CARREIRA;DEM;BA;53
74041;LUIZ COUTO;PT;PB;53
141487;LUIZ FERNANDO FARIA;PP**;MG;53
